effect_id,category,study_id,exp_id,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,n_int,mean_int,sd_int,overall_rob
98,Ethanol,Lutte_2020,Lutte_2020_exp_002,time_in_social,direct,Control,10,210.9015,34.5725,Ethanol,10,240.739,30.881,Low
99,Ethanol,Parker_2014,Parker_2014_exp_001,time_in_social,direct,Control,33,1064.774,134.1527715,Ethanol,30,941.8495,243.9802746,Low
100,Ethanol,Scerbina_2022,Scerbina_2022_exp_001,distance_to_social_delta,indirect,Control,20,-14.576,7.502008065,Ethanol,20,-16.252,9.33111167,Low
101,Ethanol,Scerbina_2022,Scerbina_2022_exp_001,distance_to_social_delta,indirect,Control,20,-14.576,7.502008065,Ethanol,20,-10.886,9.662049731,Low
102,Ethanol,Scerbina_2022,Scerbina_2022_exp_001,distance_to_social_delta,indirect,Control,20,-14.576,7.502008065,Ethanol,19,-4.2065,7.46679389,Low
103,Ethanol,Scerbina_2022,Scerbina_2022_exp_002,distance_to_social_delta,indirect,Control,20,-9.9745,9.92814182,Ethanol,20,-11.792,10.99474625,Low
104,Ethanol,Scerbina_2022,Scerbina_2022_exp_002,distance_to_social_delta,indirect,Control,20,-9.9745,9.92814182,Ethanol,20,-11.5235,10.35075867,Low
105,Ethanol,Scerbina_2022,Scerbina_2022_exp_002,distance_to_social_delta,indirect,Control,20,-9.9745,9.92814182,Ethanol,20,-2.5555,8.588737102,Low
106,NMDA antagonists,Riehl_2011,Riehl_2011_exp_001,time_in_social,direct,Control,12,116.455,83.29951949,Ketamine,12,87.128,38.93996626,High
107,NMDA antagonists,Riehl_2011,Riehl_2011_exp_001,time_in_social,direct,Control,12,116.455,83.29951949,Ketamine,12,70.6645,45.80754771,High
108,NMDA antagonists,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_social,direct,Control,12,205.04,75.91,MK-801,12,197.242,100.09,Low
109,NMDA antagonists,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_social,direct,Control,12,205.04,75.91,MK-801,11,89.455,34.775,Low
110,NMDA antagonists,Benvenutti_2021,Benvenutti_2021_exp_001,time_in_social,direct,Control,12,205.04,75.91,MK-801,11,104.409,52.281,Low
111,NMDA antagonists,Giongo_2023,Giongo_2023_exp_001,time_in_social,direct,Control,11,264.47012,46.166135,MK-801,12,162.944915,99.491595,Low
112,NMDA antagonists,Perdikaris_2022,Perdikaris_2022_exp_001,time_in_social,direct,Control,15,70.061245,20.69168464,MK-801,15,32.77804,13.43049927,Low
113,NMDA antagonists,Perdikaris_2023_A,Perdikaris_2023_A_exp_001,time_in_social,direct,Control,25,275.341,96.8475,MK-801,26,138.075,40.15222916,Low
114,NMDA antagonists,Perdikaris_2023_B,Perdikaris_2023_B_exp_001,time_in_social,direct,Control,5,95.035,5.314015549,MK-801,5,52.4945,6.448820047,Low
115,NMDA antagonists,Seibt_2011,Seibt_2011_exp_001,time_in_social,direct,Control,11,8.606,1.842902059,MK-801,11,0.456,0.8157959304,Low
116,NMDA antagonists,Sison_2011,Sison_2011_exp_001,time_in_social,direct,Control,8,53.286,14.99773483,MK-801,8,50.356,11.41553188,Low
117,NMDA antagonists,Sison_2011,Sison_2011_exp_001,time_in_social,direct,Control,8,53.286,14.99773483,MK-801,8,38.6605,9.521899915,Low
118,NMDA antagonists,Sison_2011,Sison_2011_exp_001,time_in_social,direct,Control,8,53.286,14.99773483,MK-801,8,29.6045,10.51326362,Low
119,NMDA antagonists,Sison_2011,Sison_2011_exp_002,time_in_social,direct,Control,8,54.447,12.54266008,MK-801,8,42.209,18.76237133,Low
120,NMDA antagonists,Sison_2011,Sison_2011_exp_002,time_in_social,direct,Control,8,54.447,12.54266008,MK-801,8,46.7695,11.64322026,Low
